time_s,pressure_mmHg,pressure_smooth,is_systolic_peak,is_diastolic_peak
0.10048234704177,66.3618423980575,,False,False
0.116355164879083,65.7294135327848,,False,False
0.125836550193732,65.3548144482024,65.62848396489862,True,False
0.125836550193734,65.3548144482023,65.42265772877384,False,False
0.126173759039872,65.3415349972461,65.3415530965406,False,False
0.126397823771085,65.3327112174336,65.33310687158416,False,False
0.126621888502298,65.3238903716185,65.3133579483605,False,False
0.126909201497214,65.3125833234203,65.28497336451736,False,False
0.128345766471793,65.2560698320841,65.24038212320256,False,False
0.129782331446373,65.1996120780303,65.17410142037014,False,False
0.132071535241168,65.1097550108596,65.08044450456568,False,False
0.135064247669851,64.9924868574564,64.96179545720285,False,False
0.138854482741507,64.844298744398,64.81825483906962,False,False
0.143508899353962,64.66282459527,64.6425224419823,False,False
0.148163315966417,64.4819089873641,64.44029317212566,False,False
0.154639468548883,64.231093025423,64.21796148855401,False,False
0.161115621131349,63.9813405081733,63.959153079051646,False,False
0.167591773713814,63.7326403265397,63.66420820586768,False,False
0.17711650485236,63.3687825477581,63.32873102246394,False,False
0.186641235990905,63.0071846214443,62.95322161114158,False,False
0.198670885396325,62.5537071084043,62.51443959679034,False,False
0.210700534801746,62.1037934515615,62.03654025376976,False,False
0.225944749073991,61.5387302547835,61.4888641208896,False,False
0.241188963346236,60.9792858326552,60.89159965051581,False,False
0.260771012019498,60.2688039570435,60.24582402799503,False,False
0.28035306069276,59.5673847565353,59.54863300939267,False,False
0.299935109366022,58.8749153389576,58.8014264030641,False,False
0.323515164668133,58.0527751617717,58.036908934955875,False,False
0.347095219970245,57.2432528010124,57.25580251053934,False,False
0.370675275272357,56.4462166165024,56.458850870083985,False,False
0.394255330574469,55.6618526344526,55.733139750804035,False,False
0.417835385876581,54.8901571366808,55.22899947896286,False,False
0.436773088184805,54.424219565372,55.101166674818785,False,True
0.448475515664961,54.7225514418065,55.40310534271822,False,False
0.460177943145117,55.807052595782,56.21416578347386,False,False
0.469087083500504,57.1715459739498,57.458114349346786,False,False
0.477996223855891,58.945459340459,59.017395153429256,False,False
0.485264581664426,60.6439623947366,60.76101272695737,False,False
0.492532939472961,62.5189554622189,62.6501708647442,False,False
0.499801297281497,64.5251404634226,64.52541611252931,False,False
0.507069655090032,66.6173366628839,66.4028874419275,False,False
0.512879450445865,68.3216855793846,68.24431236144248,False,False
0.518689245801698,70.0313190417276,70.01669262800365,False,False
0.524499041157532,71.7260800597937,71.69266221273452,False,False
0.530308836513365,73.3870417962285,73.40692169883175,False,False
0.536118631869198,74.9971845865382,75.13328841188812,False,False
0.543294230124165,76.8929830098708,77.01529948252741,False,False
0.550469828379133,78.6631526070093,78.97581211994934,False,False
0.561707364158742,81.1361354129903,80.93663218533686,False,False
0.572901922917009,83.1896049833381,82.74945771898928,False,False
0.584096481675277,84.8012849134758,84.34832236101722,False,False
0.595291040433544,85.9571106781329,85.50318920733774,False,False
0.606485599191812,86.657475817149,86.2119332310435,False,False
0.617680157950079,86.9104696445929,86.49362697328806,False,False
0.628874716708347,86.7333251018669,86.50459784166131,True,False
0.640069275466614,86.2097536246986,86.33407689922304,False,False
0.643427643094094,86.0119650199991,85.94830649198438,False,False
0.646786010721574,85.8048711049577,85.44666826110182,False,False
0.659877518488281,84.9816176083996,84.86097354921252,False,False
0.672969026254987,84.2251339474541,84.13629437994618,False,False
0.691601171004363,83.2812800652521,83.22944248761264,False,False
0.710233315753738,82.3885691736674,82.26244294980481,False,False
0.733281205101399,81.27061164329,81.14815647389594,False,False
0.75632909444906,80.1466199193604,79.92891694537752,False,False
0.78736239889957,78.6537015679098,78.59938379866425,False,False
0.818395703350079,77.18508242266,77.21001267392589,False,False
0.849429007800589,75.740903440101,75.76750581516,False,False
0.880462312251099,74.3237560195982,74.35112714517174,False,False
0.911495616701608,72.934085625531,72.96144552386947,False,False
0.942528921152118,71.5718082179685,71.6373379019709,False,False
0.973562225602628,70.2366743161487,70.2604327776719,False,False
1.0,69.1203653306081,68.83407517798211,False,False
1.04069702974499,67.4392303981032,67.36140236081872,False,False
1.08139405948998,65.8022976270821,65.84558364761108,False,False
1.12209108923497,64.2084441321515,64.31317460896196,False,False
1.16278811897997,62.6575807501105,63.13294384845578,False,False
1.19589916934516,61.4583201373625,62.59150850289886,False,True
1.21222299297386,61.5380765955723,62.814149838893954,False,False
1.22854681660256,63.0951208992975,64.29571243620222,False,False
1.24114357268929,65.321650812127,66.81290772805963,False,False
1.26086896346842,70.0653937366518,70.11687851753989,False,False
1.2753270409528,74.0442965966495,73.86042072057728,False,False
1.28978511843718,78.0579305429736,77.81240768141414,False,False
1.30424319592157,81.8128319144845,81.45941096919975,False,False
1.31870127340595,85.0815856163113,84.71672988248721,False,False
1.33707034428251,88.3004101755799,87.31646647684762,False,False
1.35543941515906,90.3308911630868,89.16874117241228,False,False
1.36953316790863,91.0566135147756,90.24636184313997,False,False
1.38362692065819,91.0742053923078,90.4993451757507,True,False
1.39772067340776,90.4696889699497,90.16625544251664,False,False
1.41181442615732,89.5653268386336,89.52853218894339,False,False
1.42590817890689,88.6654424969165,88.74164273771623,False,False
1.44000193165645,87.8679972469093,87.84978528513997,False,False
1.45409568440602,87.1397581361721,86.90977860545904,False,False
1.47642011064905,86.0104017070684,85.81657389894072,False,False
1.49874453689209,84.8652934402289,84.55568293721603,False,False
1.53137086075113,83.1994189643249,83.11879641800545,False,False
1.56399718461017,81.5635424382859,81.59228321848528,False,False
1.59662350846921,79.9553255401191,79.9856892066346,False,False
